6	1974	3	1	1	1	"416/141"	"IT"		2	3	1976	1	"B64C 2738"	"B64C"	27	1	6	416	416	3941503	10442540	""	""	19	19	141	"141"	"141"	141	0	124450
5	1974	1		4	4	"290/38R"	""		2	3	1976	1	"H02P  904"	"H02P"	9	1	1	290	290	3942024		"PA"	""	45	45		"38R"	"38"	38	0	0
3	1974	1		4	4	"290/55"	""		2	3	1976	1	"F03D  900"	"F03D"	9	1	1	290	290	3942025		"JP"	""	45	45	55	"55"	"55"	55	0	0
4	1974	2	1	5	5	"410/100"	"US"		9	3	1976	1	"B60P  710"	"B60P"	7	1	15	410	105	3942454	10096860	"IL"	""	55	55	100	"100"	"472"	472	0	448450
2	1975	2	1	5	5	"415/199.2"	"US"		9	3	1976	1	"F04D 2944"	"F04D"	29	1	1	415	415	3942908	10042908	"NY"	""	53	53	199.2	"199.2"	"199"	199	0	409165
3	1975	2	1	1	4	"34/443"	"US"		9	3	1976	1	"H01M 3530"	"H01M"	35	1	6	34	136	3943002	10159718	"PA"	""	19	45	443	"443"	"33"	33	0	179750
6	1974	3	1	6		"405/195.1"	"BM"		16	3	1976	1	"E02D 2752"	"E02D"	27	1	9	405	61	3943725	10043725	""	""	64		195.1	"195.1"	"46"	46	0	549215
6	1974	1		6	6	"126/41R"	""		16	3	1976	1	"F24C  308"	"F24C"	3	1	33	126	126	3943910		"FL"	""	66	66		"41R"	"41"	41	0	0
7	1975	2	1	4	4	"429/213"	"US"		16	3	1976	1	"H01M  436"	"H01M"	4	1	17	429	136	3944433	10044433	"NY"	""	45	45	213	"213"	"83"	83	0	231445
4	1974	2	1	1	1	"204/297.01"	"US"		16	3	1976	1	"C25B  902"	"C25B"	9	1	10	204	204	3944479	10033740	"NY"	""	19	19	297.01	"297.01"	"297"	297	0	256855
8	1974	1		4	4	"378/147"	""		16	3	1976	1	"G21F  300"	"G21F"	3	1	14	378	250	3944838		"DE"	""	44	44	147	"147"	"515"	515	0	0
7	1974	1		4	4	"290/55"	""		16	3	1976	1	"H02P  904"	"H02P"	9	1	9	290	290	3944839		"CA"	""	45	45	55	"55"	"55"	55	0	0
7	1974	1		6	6	"4/527"	""		23	3	1976	1	"A61H 3306"	"A61H"	33	1	2	4	4	3945058		"WA"	""	65	65	527	"527"	"163"	163	0	0
5	1975	2	1	6	5	"428/591"	"US"		23	3	1976	1	"H05K  718"	"H05K"	7	1	2	428	29	3945808	10140808	"PA"	""	69	52	591	"591"	"193"	193	0	28145
10	1974	2	1	1	1	"524/425"	"US"		23	3	1976	1	"C09C  300"	"C09C"	3	1	8	524	106	3945843	10308392	"IL"	""	15	12	425	"425"	"308"	308	0	391745
4	1973	2	1	1	6	"588/320"	"US"		30	3	1976	1	"B01D 3518"	"B01D"	35	1	10	588	110	3946679	10046679	"OH"	""	19	66	320	"320"	"8"	8	0	7085
13	1974	1		6	6	"126/91A"	""		30	3	1976	1	"F24C  300"	"F24C"	3	1	4	126	126	3946719		"SU"	""	66	66		"91A"	"91"	91	0	0
16	1974	2	1	6	6	"126/646"	"US"		30	3	1976	1	"E24J  302"	"E24J"	3	1	9	126	126	3946720	10046721	"CO"	""	66	66	646	"646"	"270"	270	0	282060
5	1975	3	1	6	6	"236/34.5"	"JA"		30	3	1976	1	"F01P  702"	"F01P"	7	1	3	236	236	3946943	10043759	""	""	69	69	34.5	"34.5"	"34"	34	0	582975
7	1974	2	1	1	1	"204/617"	"US"		30	3	1976	1	"G01N 2726"	"G01N"	27	1	14	204	204	3947345	10346339	"MA"	""	19	19	617	"617"	"299"	299	0	376505
20	1974	1		6	6	"126/204"	""		6	4	1976	1	"A61F  706"	"A61F"	7	1	3	126	126	3948246		"NJ"	""	66	66	204	"204"	"204"	204	0	0
9	1974	2	1	4	4	"429/118"	"US"		6	4	1976	1	"H01M  436"	"H01M"	4	1	12	429	136	3948680	10120441	"IL"	""	45	45	118	"118"	"26"	26	0	24845
8	1974	6	1	4	4	"429/46"	"US"		6	4	1976	1	"H01M  810"	"H01M"	8	1	3	429	136	3948681	10036902	"DC"	""	45	45	46	"46"	"86"	86	0	597185
